baseline_question,variant_index,strategy,question,answer,ground_truth,consistency_rate
is there evidence of pleural effusion in this image?,3,Clause reordering + synonym replacement,"In this image, is there any sign of pleural effusion?",no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,4,Voice change (passive) + phrasing variation,Can pleural effusion be identified in the provided image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,5,Register shift (conversational) + phrasing variation,Do you see pleural effusion on this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,0,baseline,is there evidence of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,1,Phrasing variations,Does this image show evidence of a pleural effusion?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,2,Synonym replacement,Is there any indication of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,3,Clause reordering,"In this image, is evidence of pleural effusion present?",yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,4,Voice changes,Is evidence of a pleural effusion demonstrated in this image?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,5,Register shifts,Are we seeing evidence of pleural effusion in this image?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,0,baseline,is there evidence of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,1,Phrasing variation,Does this image show a pleural effusion?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,2,Voice change (passive),Is a pleural effusion demonstrated in this image?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,3,Clause reordering,"In this image, is there evidence of a pleural effusion?",yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,4,Synonym replacement,Is there evidence of fluid in the pleural space in this image?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,5,Register shift (conversational),Do we see any pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,0,baseline,is there evidence of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,1,Phrasing variation,Does this image show evidence of pleural effusion?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,2,Synonym replacement,Is there any sign of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,3,Clause reordering,"In this image, is there evidence of pleural effusion?",yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,4,Voice change (active→passive),Can pleural effusion be seen in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,5,Register shift,Does the image provide evidence of pleural effusion?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,0,baseline,is there evidence of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,1,Phrasing variation,Does this image show a pleural effusion?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,2,Voice change,Is pleural effusion present in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,3,Clause reordering + Synonym replacement,"In this image, is there any sign of pleural effusion?",no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,4,Voice change + Phrasing variation,Can pleural effusion be identified in this image?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,5,Register shift + Phrasing variation,Do you see evidence of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,0,baseline,is there evidence of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,1,phrasing variation,Does this image show evidence of pleural effusion?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,2,clause reordering,"In this image, is there evidence of pleural effusion?",yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,3,voice change,Is pleural effusion demonstrated in this image?,yes,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,4,synonym replacement,Are there signs of pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural effusion in this image?,5,register shift,Do we see pleural effusion in this image?,no,yes,0.6190476190476191
is there evidence of pleural thickening in this image?,0,baseline,is there evidence of pleural thickening in this image?,yes,yes,1.0
is there evidence of pleural thickening in this image?,1,Synonym replacement,Are there signs of pleural thickening in this image?,yes,yes,1.0
is there evidence of pleural thickening in this image?,2,Phrasing variation,Is pleural thickening present in this image?,yes,yes,1.0
is there evidence of pleural thickening in this image?,3,Voice change (active→passive),Can pleural thickening be seen in this image?,yes,yes,1.0
is there evidence of pleural thickening in this image?,4,Clause reordering,"In this image, is there evidence of pleural thickening?",yes,yes,1.0
is there evidence of pleural thickening in this image?,5,Register shift (conversational),Do you see pleural thickening in this image?,yes,yes,1.0
is there evidence of pleural thickening in this image?,0,baseline,is there evidence of pleural thickening in this image?,yes,yes,1.0
is there evidence of pleural thickening in this image?,1,Phrasing variation,Does this image show pleural thickening?,yes,yes,1.0
is there evidence of pleural thickening in this image?,2,Voice change + synonym replacement,Can pleural thickening be identified in this image?,yes,yes,1.0
is there evidence of pleural thickening in this image?,3,Synonym replacement,Is pleural thickening present in this image?,yes,yes,1.0
is there evidence of pleural thickening in this image?,4,Clause reordering + synonym replacement,"In this image, is there any sign of pleural thickening?",yes,yes,1.0
is there evidence of pleural thickening in this image?,5,Register shift + synonym replacement,Would you say this image demonstrates pleural thickening?,yes,yes,1.0
is there evidence of pneumonia in this image?,0,baseline,is there evidence of pneumonia in this image?,no,yes,0.6666666666666666
is there evidence of pneumonia in this image?,1,phrasing variation,Does this image show evidence of pneumonia?,yes,yes,0.6666666666666666
is there evidence of pneumonia in this image?,2,synonym replacement,Are there signs of pneumonia in this image?,no,yes,0.6666666666666666
is there evidence of pneumonia in this image?,3,clause reordering,"In this image, is there evidence of pneumonia?",no,yes,0.6666666666666666
is there evidence of pneumonia in this image?,4,voice change,Is pneumonia demonstrated in this image?,yes,yes,0.6666666666666666
is there evidence of pneumonia in this image?,5,register shift,Do you see any evidence of pneumonia in this image?,no,yes,0.6666666666666666
is there evidence of pneumothorax in this image?,0,baseline,is there evidence of pneumothorax in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,1,Phrasing variation; clause reordering,Does this image show evidence of a pneumothorax?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,2,Synonym replacement (evidence -> signs),Are there any signs of pneumothorax in this image?,no,no,0.8333333333333334
is there evidence of pneumothorax in this image?,3,Synonym replacement (evidence of -> present); register shift (more direct),Is a pneumothorax present in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,4,Clause reordering; synonym replacement (evident),"In this image, is pneumothorax evident?",yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,5,Voice change (passive); phrasing variation,Is evidence of pneumothorax seen in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,0,baseline,is there evidence of pneumothorax in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,1,Phrasing variation,Does this image show evidence of pneumothorax?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,2,Synonym replacement,Is there any evidence of pneumothorax visible in this image?,no,no,0.8333333333333334
is there evidence of pneumothorax in this image?,3,Clause reordering,"In this image, is there evidence of pneumothorax?",yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,4,Voice change (passive),Is evidence of pneumothorax demonstrated by this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,5,Register shift (conversational),Are we seeing evidence of pneumothorax in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,0,baseline,is there evidence of pneumothorax in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,1,Phrasing variation (question construction change),Does this image show evidence of pneumothorax?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,2,Synonym replacement (evidence → signs),Are there signs of pneumothorax in this image?,no,no,0.8333333333333334
is there evidence of pneumothorax in this image?,3,Synonym replacement (present) + phrasing variation,Is evidence of pneumothorax present in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,4,Voice change (passive with modal) + synonym replacement (identified),Can evidence of pneumothorax be identified in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,5,Clause reordering + synonym replacement (indication),"In this image, is there any indication of pneumothorax?",yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,0,baseline,is there evidence of pneumothorax in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,1,Synonym replacement; phrasing variation,Does this image show a pneumothorax?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,2,Synonym replacement,Is pneumothorax visible in this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,3,Clause reordering; synonym replacement,"In this image, are there any signs of pneumothorax?",no,no,0.8333333333333334
is there evidence of pneumothorax in this image?,4,Synonym replacement; register shift,Is pneumothorax evident on this image?,yes,no,0.8333333333333334
is there evidence of pneumothorax in this image?,5,Voice change (active→passive); phrasing variation,Is a pneumothorax demonstrated by this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,0,baseline,is there evidence of pulmonary edema in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,1,phrasing variation,Does this image show evidence of pulmonary edema?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,2,voice change (active→passive),Is evidence of pulmonary edema present in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,3,clause reordering,"In this image, is there evidence of pulmonary edema?",yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,4,phrasing variation + voice change,Can pulmonary edema be seen in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,5,synonym replacement (evidence→signs),Are there signs of pulmonary edema in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,0,baseline,is there evidence of pulmonary edema in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,1,Synonym replacement,Does this image show signs of pulmonary edema?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,2,Voice change (active→passive phrasing),Is pulmonary edema evident in this image?,no,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,3,Clause reordering + synonym replacement,"In this image, is there any indication of pulmonary edema?",yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,4,Register shift (formal verb) + UK spelling variant,Does this image demonstrate pulmonary oedema?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,5,Phrasing variation (nominalization),Is evidence of pulmonary edema present in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,0,baseline,is there evidence of pulmonary edema in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,1,Phrasing variation and clause reordering,Does this image show evidence of pulmonary edema?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,2,Synonym replacement,Is pulmonary edema evident in this image?,no,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,3,Synonym replacement and phrasing variation,Can pulmonary edema be identified in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,4,Synonym replacement,Is there any sign of pulmonary edema in this image?,no,no,0.8333333333333334
is there evidence of pulmonary edema in this image?,5,Voice change (passive construction),Is pulmonary edema demonstrated in this image?,yes,no,0.8333333333333334
is there evidence of pulmonary emphysema in this image?,0,baseline,is there evidence of pulmonary emphysema in this image?,yes,no,1.0
is there evidence of pulmonary emphysema in this image?,1,Synonym replacement,Does this image show signs of pulmonary emphysema?,yes,no,1.0
is there evidence of pulmonary emphysema in this image?,2,Phrasing variation,Is pulmonary emphysema evident in this image?,yes,no,1.0
is there evidence of pulmonary emphysema in this image?,3,Synonym replacement,Is evidence of pulmonary emphysema visible in this image?,yes,no,1.0
is there evidence of pulmonary emphysema in this image?,4,Phrasing variation,Does this image provide evidence of pulmonary emphysema?,yes,no,1.0
is there evidence of pulmonary emphysema in this image?,5,Voice change,Is evidence of pulmonary emphysema demonstrated by this image?,yes,no,1.0
is there evidence of vascular congestion in this image?,0,baseline,is there evidence of vascular congestion in this image?,yes,yes,1.0
is there evidence of vascular congestion in this image?,1,phrasing variation,Does this image show vascular congestion?,yes,yes,1.0
is there evidence of vascular congestion in this image?,2,synonym replacement,Is vascular congestion present in this image?,yes,yes,1.0
is there evidence of vascular congestion in this image?,3,clause reordering,"In this image, is there evidence of vascular congestion?",yes,yes,1.0
is there evidence of vascular congestion in this image?,4,voice change,Is vascular congestion demonstrated in this image?,yes,yes,1.0
is there evidence of vascular congestion in this image?,5,register shift,Please confirm whether this image shows vascular congestion.,yes,yes,1.0
is there fracture in the right rib area?,0,baseline,is there fracture in the right rib area?,no,no,0.8333333333333334
is there fracture in the right rib area?,1,Synonym replacement + phrasing variation,Is a fracture present in the right rib region?,no,no,0.8333333333333334
is there fracture in the right rib area?,2,Phrasing variation,Does the right rib area show a fracture?,no,no,0.8333333333333334
is there fracture in the right rib area?,3,Phrasing variation,Is there any fracture of the right rib area?,no,no,0.8333333333333334
is there fracture in the right rib area?,4,Clause reordering,"In the right rib area, is there a fracture?",no,no,0.8333333333333334
is there fracture in the right rib area?,5,Synonym replacement,Is there a break in the right rib area?,yes,no,0.8333333333333334
is there fracture in the right-sided rib area?,0,baseline,is there fracture in the right-sided rib area?,yes,no,1.0
is there fracture in the right-sided rib area?,1,phrasing variation,Is a fracture present in the right-sided rib area?,yes,no,1.0
is there fracture in the right-sided rib area?,2,clause reordering,"In the right-sided rib area, is there a fracture?",yes,no,1.0
is there fracture in the right-sided rib area?,3,voice change,Is the right-sided rib area fractured?,yes,no,1.0
is there fracture in the right-sided rib area?,4,register shift,Does the right side of the ribcage show a fracture?,yes,no,1.0
is there fracture in the right-sided rib area?,5,synonym replacement,Are there any fractures in the right rib region?,yes,no,1.0
is there free subdiaphragmatic gas?,0,baseline,is there free subdiaphragmatic gas?,yes,no,0.8333333333333334
is there free subdiaphragmatic gas?,1,synonym replacement,Is free gas present beneath the diaphragm?,yes,no,0.8333333333333334
is there free subdiaphragmatic gas?,2,clause reordering,"Under the diaphragm, is any free gas present?",yes,no,0.8333333333333334
is there free subdiaphragmatic gas?,3,synonym replacement,Is there free subdiaphragmatic air?,yes,no,0.8333333333333334
is there free subdiaphragmatic gas?,4,register shift + voice change,Can the presence of free subdiaphragmatic gas be confirmed?,yes,no,0.8333333333333334
is there free subdiaphragmatic gas?,5,voice change + synonym replacement,Is free air detected under the diaphragm?,no,no,0.8333333333333334
is there granuloma?,0,baseline,is there granuloma?,no,no,0.6666666666666666
is there granuloma?,1,Phrasing variations,Is a granuloma present?,no,no,0.6666666666666666
is there granuloma?,2,Synonym replacement,Does a granuloma exist?,no,no,0.6666666666666666
is there granuloma?,3,Register shifts,Can you confirm whether a granuloma is present?,yes,no,0.6666666666666666
is there granuloma?,4,Clause reordering,Is it the case that a granuloma is present?,yes,no,0.6666666666666666
is there granuloma?,5,Phrasing variations,Is there a granuloma?,no,no,0.6666666666666666
is there hernia?,0,baseline,is there hernia?,no,no,0.3333333333333333
is there hernia?,1,phrasing variation (grammatical normalization),Is there a hernia?,yes,no,0.3333333333333333
is there hernia?,2,voice change (predicate structure),Is a hernia present?,yes,no,0.3333333333333333
is there hernia?,3,synonym replacement (be there→exist),Does a hernia exist?,yes,no,0.3333333333333333
is there hernia?,4,phrasing variation (quantifier insertion),Is there any hernia?,no,no,0.3333333333333333
is there hernia?,5,phrasing variation (nominalization),Presence of a hernia?,yes,no,0.3333333333333333
is there hyperexpanded lung?,0,baseline,is there hyperexpanded lung?,yes,yes,1.0
is there hyperexpanded lung?,1,Clause reordering,Is hyperexpansion of the lung present?,yes,yes,1.0
is there hyperexpanded lung?,2,Phrasing variation (article insertion),Is there a hyperexpanded lung?,yes,yes,1.0
is there hyperexpanded lung?,3,Register shift (conversational phrasing),Does the lung appear hyperexpanded?,yes,yes,1.0
is there hyperexpanded lung?,4,Voice change (passive construction),Can lung hyperexpansion be identified?,yes,yes,1.0
is there hyperexpanded lung?,5,Synonym replacement (hyperexpanded→hyperinflated),Is there lung hyperinflation?,yes,yes,1.0
is there intrathoracic process?,0,baseline,is there intrathoracic process?,yes,no,1.0
is there intrathoracic process?,1,Phrasing variations,Is an intrathoracic process present?,yes,no,1.0
is there intrathoracic process?,2,Phrasing variations,Does an intrathoracic process exist?,yes,no,1.0
is there intrathoracic process?,3,Synonym replacement,Is there any process within the thorax?,yes,no,1.0
is there intrathoracic process?,4,Clause reordering,"Within the thorax, is there any process?",yes,no,1.0
is there intrathoracic process?,5,Register shifts,Is there a process inside the chest cavity?,yes,no,1.0
is there kyphosis?,0,baseline,is there kyphosis?,no,yes,1.0
is there kyphosis?,1,Synonym replacement,Is kyphosis present?,no,yes,1.0
is there kyphosis?,2,Register shift (telegraphic phrasing),Kyphosis present?,no,yes,1.0
is there kyphosis?,3,Voice change (observational phrasing),Is kyphosis observed?,no,yes,1.0
is there kyphosis?,4,Phrasing variation (reporting verb),Is kyphosis noted?,no,yes,1.0
is there kyphosis?,5,Clause reordering,"Kyphosis, is it present?",no,yes,1.0
is there opacity in the left hemithorax area?,0,baseline,is there opacity in the left hemithorax area?,yes,no,1.0
is there opacity in the left hemithorax area?,1,Phrasing variation,Does the left hemithorax show any opacity?,yes,no,1.0
is there opacity in the left hemithorax area?,2,Synonym replacement + presence phrasing,Is an opacity present in the left hemithorax region?,yes,no,1.0
is there opacity in the left hemithorax area?,3,Clause reordering,"In the left hemithorax, is there any opacity?",yes,no,1.0
is there opacity in the left hemithorax area?,4,Voice change (passive observation) + phrasing variation,Can any opacity be seen within the left hemithorax?,yes,no,1.0
is there opacity in the left hemithorax area?,5,Synonym replacement,Is there any opacification in the left hemithorax?,yes,no,1.0
is there opacity in the right basilar area?,0,baseline,is there opacity in the right basilar area?,yes,no,1.0
is there opacity in the right basilar area?,1,Phrasing variation,Does the right basilar region show any opacity?,yes,no,1.0
is there opacity in the right basilar area?,2,Synonym replacement,Is an opacity present at the right lung base?,yes,no,1.0
is there opacity in the right basilar area?,3,Clause reordering,"In the right basilar area, is there any opacity?",yes,no,1.0
is there opacity in the right basilar area?,4,Voice change (passive),Is any opacity noted in the right basilar region?,yes,no,1.0
is there opacity in the right basilar area?,5,Phrasing variation with modal,Can an opacity be seen in the right basilar area?,yes,no,1.0
is there opacity?,0,baseline,is there opacity?,yes,yes,1.0
is there opacity?,1,Phrasing variation,Is opacity present?,yes,yes,1.0
is there opacity?,2,Synonym replacement + phrasing variation,Does an opacity exist?,yes,yes,1.0
is there opacity?,3,Phrasing variation (quantifier),Is there any opacity?,yes,yes,1.0
is there opacity?,4,Register shift (telegraphic),Opacity present?,yes,yes,1.0
is there opacity?,5,Voice change (passive) + phrasing variation,Is an opacity observed?,yes,yes,1.0
is there opacity?,0,baseline,is there opacity?,yes,yes,1.0
is there opacity?,1,Synonym replacement,Is opacity present?,yes,yes,1.0
is there opacity?,2,Phrasing variation,Is there any opacity?,yes,yes,1.0
is there opacity?,3,Phrasing variation,Does opacity exist?,yes,yes,1.0
is there opacity?,4,Voice change,Is opacity observed?,yes,yes,1.0
is there opacity?,5,Register shift,Do you see opacity?,yes,yes,1.0
is there pleural effusion in the right area?,0,baseline,is there pleural effusion in the right area?,yes,no,1.0
is there pleural effusion in the right area?,1,Synonym replacement,Is a right-sided pleural effusion present?,yes,no,1.0
is there pleural effusion in the right area?,2,Clause reordering,"On the right side, is there pleural effusion?",yes,no,1.0
is there pleural effusion in the right area?,3,Register shift,Do you see pleural effusion on the right?,yes,no,1.0
is there pleural effusion in the right area?,4,Phrasing variation (imperative form),Please determine whether pleural effusion is present on the right.,yes,no,1.0
is there pleural effusion in the right area?,5,Synonym replacement,Does the right pleural space have an effusion?,yes,no,1.0
"is there pleural effusion in the right,left area?",0,baseline,"is there pleural effusion in the right,left area?",no,yes,0.16666666666666666
"is there pleural effusion in the right,left area?",1,Synonym replacement,Is pleural effusion present on the right side or the left side?,yes,yes,0.16666666666666666
"is there pleural effusion in the right,left area?",2,Phrasing variation,Is there a pleural effusion on the right or on the left?,yes,yes,0.16666666666666666
"is there pleural effusion in the right,left area?",3,Clause reordering,"On the right or the left, is pleural effusion present?",yes,yes,0.16666666666666666
"is there pleural effusion in the right,left area?",4,Voice change (passive),Is a pleural effusion seen on the right side or on the left side?,yes,yes,0.16666666666666666
"is there pleural effusion in the right,left area?",5,Register shift (formal),Does the right or the left pleural space show a pleural effusion?,yes,yes,0.16666666666666666
is there pleural effusion?,0,baseline,is there pleural effusion?,yes,yes,1.0
is there pleural effusion?,1,Phrasing variation,Is a pleural effusion present?,yes,yes,1.0
is there pleural effusion?,2,Synonym replacement,Does a pleural effusion exist?,yes,yes,1.0
is there pleural effusion?,3,Clause reordering,"In the pleural space, is there an effusion?",yes,yes,1.0
is there pleural effusion?,4,Register shift,Any pleural effusion?,yes,yes,1.0
is there pleural effusion?,5,Voice change,Is the presence of pleural effusion noted?,yes,yes,1.0
is there pleural effusion?,0,baseline,is there pleural effusion?,yes,yes,1.0
is there pleural effusion?,1,voice change to passive phrasing,Is a pleural effusion present?,yes,yes,1.0
is there pleural effusion?,2,phrasing variation with quantifier,Is there any pleural effusion?,yes,yes,1.0
is there pleural effusion?,3,register shift to concise/elliptical question,Any evidence of pleural effusion?,yes,yes,1.0
is there pleural effusion?,4,clause reordering and inversion,Pleural effusion: is it present?,yes,yes,1.0
is there pleural effusion?,5,synonym replacement for 'pleural effusion',Is there a pleural fluid collection?,yes,yes,1.0
is there pleural effusion?,0,baseline,is there pleural effusion?,yes,yes,1.0
is there pleural effusion?,1,Voice change; phrasing variation,Is a pleural effusion present?,yes,yes,1.0
is there pleural effusion?,2,Synonym replacement,Is there fluid in the pleural space?,yes,yes,1.0
is there pleural effusion?,3,Register shift; phrasing variation,Any pleural effusion?,yes,yes,1.0
is there pleural effusion?,4,Synonym replacement; clause reordering,Is an effusion present in the pleural cavity?,yes,yes,1.0
is there pleural effusion?,5,Phrasing variation,Is pleural effusion present or not?,yes,yes,1.0
is there pleural effusion?,0,baseline,is there pleural effusion?,yes,yes,1.0
is there pleural effusion?,1,phrasing variation,Is a pleural effusion present?,yes,yes,1.0
is there pleural effusion?,2,elliptical phrasing and clause reordering,Pleural effusion present?,yes,yes,1.0
is there pleural effusion?,3,elliptical phrasing (concise),Any pleural effusion?,yes,yes,1.0
is there pleural effusion?,4,phrasing variation,Is there evidence of pleural effusion?,yes,yes,1.0
is there pleural effusion?,5,synonym replacement,Is a pleural fluid accumulation present?,yes,yes,1.0
is there pleural effusion?,0,baseline,is there pleural effusion?,yes,yes,1.0
is there pleural effusion?,1,Phrasing variation,Is a pleural effusion present?,yes,yes,1.0
is there pleural effusion?,2,Synonym replacement,Does a pleural effusion exist?,yes,yes,1.0
is there pleural effusion?,3,Register shift,Any pleural effusion?,yes,yes,1.0
is there pleural effusion?,4,Synonym replacement,Is there an effusion in the pleural cavity?,yes,yes,1.0
is there pleural effusion?,5,Clause reordering,Pleural effusion: is it present?,yes,yes,1.0
is there pleural parenchymal scarring in the biapical area?,0,baseline,is there pleural parenchymal scarring in the biapical area?,yes,yes,1.0
is there pleural parenchymal scarring in the biapical area?,1,synonym replacement; phrasing variation,Is pleuroparenchymal scarring present in the biapical area?,yes,yes,1.0
is there pleural parenchymal scarring in the biapical area?,2,phrasing variation; register shift,Do both lung apices show pleural-parenchymal scarring?,yes,yes,1.0
is there pleural parenchymal scarring in the biapical area?,3,synonym replacement,Is there scarring of the pleura and lung parenchyma in the biapical region?,yes,yes,1.0
is there pleural parenchymal scarring in the biapical area?,4,clause reordering,"At the biapical region, is pleural-parenchymal scarring present?",yes,yes,1.0
is there pleural parenchymal scarring in the biapical area?,5,synonym replacement; phrasing variation,Is pleural-parenchymal scarring present at the apices of both lungs?,yes,yes,1.0
is there pleural thickening in the biapical area?,0,baseline,is there pleural thickening in the biapical area?,yes,yes,1.0
is there pleural thickening in the biapical area?,1,phrasing variation,Does the biapical region show pleural thickening?,yes,yes,1.0
is there pleural thickening in the biapical area?,2,synonym replacement,Is pleural thickening present at both lung apices?,yes,yes,1.0
is there pleural thickening in the biapical area?,3,register shift (formal),Are the bilateral apices demonstrating pleural thickening?,yes,yes,1.0
is there pleural thickening in the biapical area?,4,clause reordering,"In the biapical area, is there pleural thickening?",yes,yes,1.0
is there pleural thickening in the biapical area?,5,voice change / syntactic transformation,Are the apical pleurae thickened bilaterally?,yes,yes,1.0
is there pleural thickening?,0,baseline,is there pleural thickening?,yes,yes,1.0
is there pleural thickening?,1,phrasing variation,Is pleural thickening present?,yes,yes,1.0
is there pleural thickening?,2,voice change,Is the pleura thickened?,yes,yes,1.0
is there pleural thickening?,3,phrasing variation,Does the pleura show thickening?,yes,yes,1.0
is there pleural thickening?,4,clause reordering,Is there thickening of the pleura?,yes,yes,1.0
is there pleural thickening?,5,synonym replacement,Does pleural thickening exist?,yes,yes,1.0
is there pneumonia in the left upper lobe area?,0,baseline,is there pneumonia in the left upper lobe area?,yes,no,0.6666666666666666
is there pneumonia in the left upper lobe area?,1,phrasing variation + synonym replacement,Is pneumonia present in the left upper lobe area?,yes,no,0.6666666666666666
is there pneumonia in the left upper lobe area?,2,phrasing variation (subject shift to active),Does the left upper lobe area show pneumonia?,no,no,0.6666666666666666
is there pneumonia in the left upper lobe area?,3,clause reordering (fronting the location),"In the left upper lobe area, is there pneumonia?",no,no,0.6666666666666666
is there pneumonia in the left upper lobe area?,4,voice change (passive),Is the left upper lobe area affected by pneumonia?,yes,no,0.6666666666666666
is there pneumonia in the left upper lobe area?,5,synonym replacement + phrasing variation,Is pneumonia located in the left upper lobe area?,yes,no,0.6666666666666666
is there pneumonia?,0,baseline,is there pneumonia?,yes,yes,1.0
is there pneumonia?,1,Synonym replacement,is pneumonia present?,yes,yes,1.0
is there pneumonia?,2,Register shift,any pneumonia?,yes,yes,1.0
is there pneumonia?,3,Voice changes,pneumonia present?,yes,yes,1.0
is there pneumonia?,4,Phrasing variations,presence of pneumonia?,yes,yes,1.0
is there pneumonia?,5,Clause reordering,"pneumonia, is it present?",yes,yes,1.0
is there pneumothorax in the left apical area?,0,baseline,is there pneumothorax in the left apical area?,yes,no,1.0
is there pneumothorax in the left apical area?,1,Synonym replacement (present/region) + slight phrasing change,Is a pneumothorax present in the left apical region?,yes,no,1.0
is there pneumothorax in the left apical area?,2,Phrasing variation with synonym (contain),Does the left apical area contain a pneumothorax?,yes,no,1.0
is there pneumothorax in the left apical area?,3,Compression into compound adjective + phrasing variation,Is there a left apical pneumothorax?,yes,no,1.0
is there pneumothorax in the left apical area?,4,Clause reordering + synonym (apex of the left lung),"At the apex of the left lung, is there a pneumothorax?",yes,no,1.0
is there pneumothorax in the left apical area?,5,Voice/structure change (located) + synonym (apex),Is a pneumothorax located in the left lung apex?,yes,no,1.0
is there pneumothorax in the right area?,0,baseline,is there pneumothorax in the right area?,yes,no,1.0
is there pneumothorax in the right area?,1,Synonym replacement,Is there a right-sided pneumothorax?,yes,no,1.0
is there pneumothorax in the right area?,2,Phrasing variation,Is a pneumothorax present on the right?,yes,no,1.0
is there pneumothorax in the right area?,3,Clause reordering,"On the right, is there a pneumothorax?",yes,no,1.0
is there pneumothorax in the right area?,4,Synonym replacement (technical term),Is there pneumothorax in the right hemithorax?,yes,no,1.0
is there pneumothorax in the right area?,5,Voice change (passive),Is a pneumothorax seen on the right side?,yes,no,1.0
is there pneumothorax?,0,baseline,is there pneumothorax?,yes,no,0.6666666666666666
is there pneumothorax?,1,phrasing variation (article insertion),Is there a pneumothorax?,yes,no,0.6666666666666666
is there pneumothorax?,2,register shift (more formal),Is a pneumothorax present?,no,no,0.6666666666666666
is there pneumothorax?,3,phrasing variation (quantifier),Is there any pneumothorax?,yes,no,0.6666666666666666
is there pneumothorax?,4,register shift (telegraphic/elliptical),Any pneumothorax present?,no,no,0.6666666666666666
is there pneumothorax?,5,synonym replacement (there is → exist),Does a pneumothorax exist?,yes,no,0.6666666666666666
